epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,492.805,1.04335,0.52076,1.10029,0.96695,1,0.98974,0.6792,1.21251,0.46129,1.17021,0.000462281,0.000462281,0.000462281
43,504.034,1.06383,0.54081,1.10429,0.96383,1,0.99025,0.6655,1.25349,0.46596,1.18191,0.000438703,0.000438703,0.000438703
44,515.648,1.01522,0.51988,1.0977,0.9598,1,0.99177,0.68016,1.20983,0.46735,1.16021,0.000415124,0.000415124,0.000415124
45,526.626,1.01371,0.50862,1.08675,0.96041,1,0.98245,0.67146,1.20206,0.45088,1.14825,0.000391546,0.000391546,0.000391546
46,537.976,0.98927,0.50611,1.09114,0.95394,0.9902,0.97851,0.66503,1.23339,0.45247,1.16649,0.000367967,0.000367967,0.000367967
47,550.255,0.99101,0.50088,1.08368,0.95505,0.9902,0.98866,0.69025,1.19907,0.44923,1.16698,0.000344389,0.000344389,0.000344389
48,562.442,0.98744,0.51014,1.09933,0.94473,0.98874,0.98418,0.67502,1.23943,0.46204,1.18076,0.00032081,0.00032081,0.00032081
49,573.087,0.95273,0.4891,1.07503,0.94573,0.98781,0.98975,0.68837,1.22292,0.44618,1.1756,0.000297232,0.000297232,0.000297232
50,585.072,0.95149,0.47219,1.05732,0.94839,1,0.9864,0.68371,1.20451,0.44635,1.17224,0.000273654,0.000273654,0.000273654
51,601.522,0.94652,0.44449,1.07407,0.95207,1,0.98767,0.68412,1.2442,0.44879,1.18263,0.000250075,0.000250075,0.000250075
52,613.624,0.9133,0.41513,1.04034,0.95284,1,0.98613,0.68118,1.25653,0.4679,1.19177,0.000226497,0.000226497,0.000226497
53,624.204,0.90178,0.41302,1.05205,0.94509,0.9902,0.98583,0.69618,1.22122,0.43818,1.16989,0.000202918,0.000202918,0.000202918
54,634.736,0.89413,0.40377,1.06844,0.95424,0.98822,0.98852,0.70544,1.20191,0.4312,1.1709,0.00017934,0.00017934,0.00017934
55,645.663,0.8851,0.40411,1.03471,0.9534,0.98972,0.98142,0.69347,1.20377,0.43712,1.16897,0.000155761,0.000155761,0.000155761
56,656.069,0.86675,0.38661,1.026,0.9486,0.9902,0.97633,0.68745,1.20971,0.44117,1.16586,0.000132183,0.000132183,0.000132183
57,667.188,0.87948,0.39266,1.02608,0.94769,0.9902,0.97591,0.68262,1.21509,0.43978,1.16643,0.000108604,0.000108604,0.000108604
58,677.671,0.86769,0.39238,1.04001,0.95074,0.9902,0.98074,0.68416,1.2215,0.44124,1.16886,8.50255e-05,8.50255e-05,8.50255e-05
59,689.747,0.83033,0.37673,1.00621,0.95353,0.98928,0.9836,0.68669,1.22664,0.43666,1.17008,6.1447e-05,6.1447e-05,6.1447e-05
60,701.115,0.84154,0.37353,1.01801,0.9499,0.9902,0.97978,0.68815,1.22315,0.43545,1.16836,3.78685e-05,3.78685e-05,3.78685e-05
